sets,artist,venue,month,day,year,tour,festival,song_num,num,album,city,date,city_day,num_show,city_num,choice_name
A-Punk,Vampire Weekend,"Midtown Green, Richmond, VA, USA",Sep,20,2025,Only God Was Above Us,Iron Blossom Music Festival 2025,13,3,Vampire Weekend,Richmond,2025-09-20,Richmond 20,85,Richmond,Iron Blossom Music Festival 2025: 2025-09-20
Campus,Vampire Weekend,"Midtown Green, Richmond, VA, USA",Sep,20,2025,Only God Was Above Us,Iron Blossom Music Festival 2025,14,6,Vampire Weekend,Richmond,2025-09-20,Richmond 20,85,Richmond,Iron Blossom Music Festival 2025: 2025-09-20
Oxford Comma,Vampire Weekend,"Midtown Green, Richmond, VA, USA",Sep,20,2025,Only God Was Above Us,Iron Blossom Music Festival 2025,15,2,Vampire Weekend,Richmond,2025-09-20,Richmond 20,85,Richmond,Iron Blossom Music Festival 2025: 2025-09-20
Mary Boone,Vampire Weekend,"Midtown Green, Richmond, VA, USA",Sep,20,2025,Only God Was Above Us,Iron Blossom Music Festival 2025,16,41,Only God Was Above Us,Richmond,2025-09-20,Richmond 20,85,Richmond,Iron Blossom Music Festival 2025: 2025-09-20
Harmony Hall,Vampire Weekend,"Midtown Green, Richmond, VA, USA",Sep,20,2025,Only God Was Above Us,Iron Blossom Music Festival 2025,17,55,Father of the Bride,Richmond,2025-09-20,Richmond 20,85,Richmond,Iron Blossom Music Festival 2025: 2025-09-20
Walcott,Vampire Weekend,"Midtown Green, Richmond, VA, USA",Sep,20,2025,Only God Was Above Us,Iron Blossom Music Festival 2025,18,10,Vampire Weekend,Richmond,2025-09-20,Richmond 20,85,Richmond,Iron Blossom Music Festival 2025: 2025-09-20
Unbelievers,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,VW Show,1,25,Modern Vampires of the City,Montclair,2025-09-18,Montclair 18,84,Montclair 4,Montclair 4: 2025-09-18
Holiday,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,VW Show,2,15,Contra,Montclair,2025-09-18,Montclair 18,84,Montclair 4,Montclair 4: 2025-09-18
One (Blake's Got a New Face),Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,VW Show,3,8,Vampire Weekend,Montclair,2025-09-18,Montclair 18,84,Montclair 4,Montclair 4: 2025-09-18
Ice Cream Piano,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,VW Show,4,40,Only God Was Above Us,Montclair,2025-09-18,Montclair 18,84,Montclair 4,Montclair 4: 2025-09-18
