sets,artist,venue,month,day,year,tour,song_num,album,city
Sunflower,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,10,Father of the Bride,London
Sympathy,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,11,Father of the Bride,London
The Surfer,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,12,Only God Was Above Us,London
California English,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,13,Contra,London
Campus,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,14,Vampire Weekend,London
Oxford Comma,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,15,Vampire Weekend,London
Capricorn,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,16,Only God Was Above Us,London
Gen-X Cops,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,17,Only God Was Above Us,London
Diane Young,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,18,Modern Vampires of the City,London
Cousins,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,19,Contra,London
A-Punk,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,20,Vampire Weekend,London
Cocaine Cowboys,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,21,Other,London
Mary Boone,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,22,Only God Was Above Us,London
Hannah Hunt,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,23,Modern Vampires of the City,London
Harmony Hall,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,24,Father of the Bride,London
Hope,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,25,Only God Was Above Us,London
Walcott,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,37,Vampire Weekend,London
Oxford Comma,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,1,Vampire Weekend,London
Campus,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,2,Vampire Weekend,London
Boston (Ladies of Cambridge),Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,3,Other,London
Ice Cream Piano,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,4,Only God Was Above Us,London
Classical,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,5,Only God Was Above Us,London
Connect,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,6,Only God Was Above Us,London
Cape Cod Kwassa Kwassa,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,7,Vampire Weekend,London
White Sky,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,8,Contra,London
This Life,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,9,Father of the Bride,London
