sets,artist,venue,month,day,year,tour,festival,song_num,num,album,city
Giant,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,16,2025,Only God Was Above Us,0,12,23,Contra,Montclair
Capricorn,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,16,2025,Only God Was Above Us,0,14,36,Only God Was Above Us,Montclair
Gen-X Cops,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,16,2025,Only God Was Above Us,0,15,39,Only God Was Above Us,Montclair
Cousins,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,16,2025,Only God Was Above Us,0,16,19,Contra,Montclair
A-Punk,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,16,2025,Only God Was Above Us,0,17,3,Vampire Weekend,Montclair
Oxford Comma,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,16,2025,Only God Was Above Us,0,18,2,Vampire Weekend,Montclair
Mary Boone,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,16,2025,Only God Was Above Us,0,19,41,Only God Was Above Us,Montclair
Taxi Cab,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,16,2025,Only God Was Above Us,0,20,17,Contra,Montclair
Harmony Hall,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,16,2025,Only God Was Above Us,0,21,55,Father of the Bride,Montclair
Hope,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,16,2025,Only God Was Above Us,0,22,42,Only God Was Above Us,Montclair
Walcott,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,16,2025,Only God Was Above Us,0,30,10,Vampire Weekend,Montclair
Hold You Now,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,15,2025,Only God Was Above Us,0,1,54,Father of the Bride,Montclair
Campus,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,15,2025,Only God Was Above Us,0,2,6,Vampire Weekend,Montclair
One (Blake's Got a New Face),Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,15,2025,Only God Was Above Us,0,3,8,Vampire Weekend,Montclair
Ice Cream Piano,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,15,2025,Only God Was Above Us,0,4,40,Only God Was Above Us,Montclair
Classical,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,15,2025,Only God Was Above Us,0,5,37,Only God Was Above Us,Montclair
Connect,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,15,2025,Only God Was Above Us,0,6,38,Only God Was Above Us,Montclair
White Sky,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,15,2025,Only God Was Above Us,0,7,14,Contra,Montclair
Unbelievers,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,15,2025,Only God Was Above Us,0,8,25,Modern Vampires of the City,Montclair
This Life,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,15,2025,Only God Was Above Us,0,9,57,Father of the Bride,Montclair
