sets,artist,venue,month,day,year,tour,festival,song_num,num,album,city
Hope,Vampire Weekend,"Ascend Amphitheater, Nashville, TN, USA",Oct,11,2024,Only God Was Above Us,0,23,42,Only God Was Above Us,Nashville
Walcott,Vampire Weekend,"Ascend Amphitheater, Nashville, TN, USA",Oct,11,2024,Only God Was Above Us,0,36,10,Vampire Weekend,Nashville
Hold You Now,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,0,1,54,Father of the Bride,Raleigh
Holiday,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,0,2,15,Contra,Raleigh
Boston (Ladies of Cambridge),Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,0,3,48,Other,Raleigh
Ice Cream Piano,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,0,4,40,Only God Was Above Us,Raleigh
Classical,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,0,5,37,Only God Was Above Us,Raleigh
Connect,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,0,6,38,Only God Was Above Us,Raleigh
Unbelievers,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,0,7,25,Modern Vampires of the City,Raleigh
Cape Cod Kwassa Kwassa,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,0,8,4,Vampire Weekend,Raleigh
This Life,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,0,9,57,Father of the Bride,Raleigh
Sympathy,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,0,10,64,Father of the Bride,Raleigh
New Dorp. New York,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,0,11,53,Other,Raleigh
Pravda,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,0,12,44,Only God Was Above Us,Raleigh
Bambina,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,0,13,56,Father of the Bride,Raleigh
Campus,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,0,14,6,Vampire Weekend,Raleigh
Oxford Comma,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,0,15,2,Vampire Weekend,Raleigh
Capricorn,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,0,16,36,Only God Was Above Us,Raleigh
Gen-X Cops,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,0,17,39,Only God Was Above Us,Raleigh
Diane Young,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,0,18,27,Modern Vampires of the City,Raleigh
Cousins,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,0,19,19,Contra,Raleigh
A-Punk,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,0,20,3,Vampire Weekend,Raleigh
Prep-School Gangsters,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,0,21,43,Only God Was Above Us,Raleigh
Mary Boone,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,0,22,41,Only God Was Above Us,Raleigh
Harmony Hall,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,0,23,55,Father of the Bride,Raleigh
Hope,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,0,24,42,Only God Was Above Us,Raleigh
Walcott,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,0,41,10,Vampire Weekend,Raleigh
Campus,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,0,1,6,Vampire Weekend,Wilmington
Cape Cod Kwassa Kwassa,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,0,2,4,Vampire Weekend,Wilmington
I Stand Corrected,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,0,3,9,Vampire Weekend,Wilmington
Ice Cream Piano,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,0,4,40,Only God Was Above Us,Wilmington
Classical,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,0,5,37,Only God Was Above Us,Wilmington
Connect,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,0,6,38,Only God Was Above Us,Wilmington
White Sky,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,0,7,14,Contra,Wilmington
Step,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,0,8,26,Modern Vampires of the City,Wilmington
This Life,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,0,9,57,Father of the Bride,Wilmington
Sunflower,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,0,10,65,Father of the Bride,Wilmington
Sympathy,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,0,11,64,Father of the Bride,Wilmington
The Surfer,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,0,12,45,Only God Was Above Us,Wilmington
Ottoman,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,0,13,47,Other,Wilmington
Capricorn,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,0,14,36,Only God Was Above Us,Wilmington
Gen-X Cops,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,0,15,39,Only God Was Above Us,Wilmington
Diane Young,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,0,16,27,Modern Vampires of the City,Wilmington
Cousins,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,0,17,19,Contra,Wilmington
A-Punk,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,0,18,3,Vampire Weekend,Wilmington
Mary Boone,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,0,20,41,Only God Was Above Us,Wilmington
Hannah Hunt,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,0,21,29,Modern Vampires of the City,Wilmington
Harmony Hall,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,0,22,55,Father of the Bride,Wilmington
Hope,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,0,23,42,Only God Was Above Us,Wilmington
Walcott,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,0,33,10,Vampire Weekend,Wilmington
Hold You Now,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,0,1,54,Father of the Bride,New York
Campus,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,0,2,6,Vampire Weekend,New York
Bryn,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,0,3,7,Vampire Weekend,New York
Ice Cream Piano,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,0,4,40,Only God Was Above Us,New York
Classical,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,0,5,37,Only God Was Above Us,New York
Connect,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,0,6,38,Only God Was Above Us,New York
Unbelievers,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,0,7,25,Modern Vampires of the City,New York
Cape Cod Kwassa Kwassa,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,0,8,4,Vampire Weekend,New York
This Life,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,0,9,57,Father of the Bride,New York
Everlasting Arms,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,0,10,30,Modern Vampires of the City,New York
Sunflower,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,0,11,65,Father of the Bride,New York
M79,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,0,12,5,Vampire Weekend,New York
Pravda,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,0,13,44,Only God Was Above Us,New York
Run,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,0,14,18,Contra,New York
Diplomat's Son,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,0,15,21,Contra,New York
Capricorn,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,0,17,36,Only God Was Above Us,New York
Cousins,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,0,18,19,Contra,New York
A-Punk,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,0,19,3,Vampire Weekend,New York
Prep-School Gangsters,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,0,21,43,Only God Was Above Us,New York
Horchata,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,0,22,13,Contra,New York
Mary Boone,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,0,23,41,Only God Was Above Us,New York
Hannah Hunt,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,0,24,29,Modern Vampires of the City,New York
Harmony Hall,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,0,25,55,Father of the Bride,New York
Worship You,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,0,36,32,Modern Vampires of the City,New York
Ya Hey,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,0,37,33,Modern Vampires of the City,New York
Mansard Roof,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,0,1,1,Vampire Weekend,New York
Holiday,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,0,2,15,Contra,New York
One (Blake's Got a New Face),Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,0,3,8,Vampire Weekend,New York
Ice Cream Piano,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,0,4,40,Only God Was Above Us,New York
Classical,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,0,5,37,Only God Was Above Us,New York
Connect,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,0,6,38,Only God Was Above Us,New York
White Sky,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,0,7,14,Contra,New York
Step,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,0,8,26,Modern Vampires of the City,New York
This Life,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,0,9,57,Father of the Bride,New York
Sympathy,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,0,10,64,Father of the Bride,New York
New Dorp. New York,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,0,11,53,Other,New York
The Surfer,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,0,12,45,Only God Was Above Us,New York
Bambina,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,0,13,56,Father of the Bride,New York
Giving Up the Gun,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,0,14,20,Contra,New York
Oxford Comma,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,0,15,2,Vampire Weekend,New York
Capricorn,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,0,16,36,Only God Was Above Us,New York
Gen-X Cops,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,0,17,39,Only God Was Above Us,New York
Diane Young,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,0,18,27,Modern Vampires of the City,New York
A-Punk,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,0,19,3,Vampire Weekend,New York
Mary Boone,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,0,21,41,Only God Was Above Us,New York
Harmony Hall,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,0,22,55,Father of the Bride,New York
Hope,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,0,23,42,Only God Was Above Us,New York
Walcott,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,0,35,10,Vampire Weekend,New York
SNL Closing Theme (A Waltz in A) / Flower Moon,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,0,36,49,Other,New York
Holiday,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,0,1,15,Contra,Charlottesville
Cape Cod Kwassa Kwassa,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,0,2,4,Vampire Weekend,Charlottesville
Bryn,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,0,3,7,Vampire Weekend,Charlottesville
Ice Cream Piano,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,0,4,40,Only God Was Above Us,Charlottesville
Classical,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,0,5,37,Only God Was Above Us,Charlottesville
Connect,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,0,6,38,Only God Was Above Us,Charlottesville
White Sky,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,0,7,14,Contra,Charlottesville
Unbelievers,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,0,8,25,Modern Vampires of the City,Charlottesville
This Life,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,0,9,57,Father of the Bride,Charlottesville
Sunflower,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,0,10,65,Father of the Bride,Charlottesville
Sympathy,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,0,11,64,Father of the Bride,Charlottesville
New Dorp. New York,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,0,12,53,Other,Charlottesville
Giving Up the Gun,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,0,13,20,Contra,Charlottesville
Campus,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,0,14,6,Vampire Weekend,Charlottesville
Capricorn,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,0,15,36,Only God Was Above Us,Charlottesville
Gen-X Cops,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,0,16,39,Only God Was Above Us,Charlottesville
Diane Young,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,0,17,27,Modern Vampires of the City,Charlottesville
Cousins,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,0,18,19,Contra,Charlottesville
A-Punk,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,0,19,3,Vampire Weekend,Charlottesville
Prep-School Gangsters,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,0,20,43,Only God Was Above Us,Charlottesville
Mary Boone,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,0,21,41,Only God Was Above Us,Charlottesville
Harmony Hall,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,0,22,55,Father of the Bride,Charlottesville
Hope,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,0,23,42,Only God Was Above Us,Charlottesville
Worship You,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,0,37,32,Modern Vampires of the City,Charlottesville
Ya Hey,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,0,38,33,Modern Vampires of the City,Charlottesville
Mansard Roof,Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,0,1,1,Vampire Weekend,Washington
Oxford Comma,Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,0,2,2,Vampire Weekend,Washington
Boston (Ladies of Cambridge),Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,0,3,48,Other,Washington
Ice Cream Piano,Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,0,4,40,Only God Was Above Us,Washington
Classical,Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,0,5,37,Only God Was Above Us,Washington
Connect,Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,0,6,38,Only God Was Above Us,Washington
Cape Cod Kwassa Kwassa,Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,0,7,4,Vampire Weekend,Washington
Unbelievers,Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,0,8,25,Modern Vampires of the City,Washington
This Life,Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,0,9,57,Father of the Bride,Washington
Sunflower,Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,0,10,65,Father of the Bride,Washington
M79,Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,0,11,5,Vampire Weekend,Washington
Pravda,Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,0,12,44,Only God Was Above Us,Washington
Horchata,Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,0,13,13,Contra,Washington
Capricorn,Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,0,14,36,Only God Was Above Us,Washington
Gen-X Cops,Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,0,15,39,Only God Was Above Us,Washington
Diane Young,Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,0,16,27,Modern Vampires of the City,Washington
A-Punk,Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,0,17,3,Vampire Weekend,Washington
Prep-School Gangsters,Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,0,19,43,Only God Was Above Us,Washington
Mary Boone,Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,0,20,41,Only God Was Above Us,Washington
Hannah Hunt,Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,0,21,29,Modern Vampires of the City,Washington
Harmony Hall,Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,0,22,55,Father of the Bride,Washington
Hope,Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,0,23,42,Only God Was Above Us,Washington
Walcott,Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,0,39,10,Vampire Weekend,Washington
Hold You Now,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,0,1,54,Father of the Bride,Washington
Holiday,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,0,2,15,Contra,Washington
One (Blake's Got a New Face),Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,0,3,8,Vampire Weekend,Washington
Ice Cream Piano,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,0,4,40,Only God Was Above Us,Washington
Classical,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,0,5,37,Only God Was Above Us,Washington
Connect,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,0,6,38,Only God Was Above Us,Washington
White Sky,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,0,7,14,Contra,Washington
Step,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,0,8,26,Modern Vampires of the City,Washington
This Life,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,0,9,57,Father of the Bride,Washington
Sympathy,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,0,10,64,Father of the Bride,Washington
New Dorp. New York,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,0,11,53,Other,Washington
The Surfer,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,0,12,45,Only God Was Above Us,Washington
How Long?,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,0,13,59,Father of the Bride,Washington
Campus,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,0,14,6,Vampire Weekend,Washington
Oxford Comma,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,0,15,2,Vampire Weekend,Washington
Capricorn,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,0,16,36,Only God Was Above Us,Washington
Gen-X Cops,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,0,17,39,Only God Was Above Us,Washington
Diane Young,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,0,18,27,Modern Vampires of the City,Washington
Cousins,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,0,19,19,Contra,Washington
A-Punk,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,0,20,3,Vampire Weekend,Washington
Prep-School Gangsters,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,0,21,43,Only God Was Above Us,Washington
Mary Boone,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,0,22,41,Only God Was Above Us,Washington
Harmony Hall,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,0,23,55,Father of the Bride,Washington
Hope,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,0,24,42,Only God Was Above Us,Washington
Worship You,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,0,40,32,Modern Vampires of the City,Washington
Ya Hey,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,0,41,33,Modern Vampires of the City,Washington
Cousins,Vampire Weekend,"TD Pavilion at the Mann, Philadelphia, PA, USA",Sep,28,2024,Only God Was Above Us,0,1,19,Contra,Philadelphia
Campus,Vampire Weekend,"TD Pavilion at the Mann, Philadelphia, PA, USA",Sep,28,2024,Only God Was Above Us,0,2,6,Vampire Weekend,Philadelphia
Bryn,Vampire Weekend,"TD Pavilion at the Mann, Philadelphia, PA, USA",Sep,28,2024,Only God Was Above Us,0,3,7,Vampire Weekend,Philadelphia
Ice Cream Piano,Vampire Weekend,"TD Pavilion at the Mann, Philadelphia, PA, USA",Sep,28,2024,Only God Was Above Us,0,4,40,Only God Was Above Us,Philadelphia
Classical,Vampire Weekend,"TD Pavilion at the Mann, Philadelphia, PA, USA",Sep,28,2024,Only God Was Above Us,0,5,37,Only God Was Above Us,Philadelphia
Connect,Vampire Weekend,"TD Pavilion at the Mann, Philadelphia, PA, USA",Sep,28,2024,Only God Was Above Us,0,6,38,Only God Was Above Us,Philadelphia
Unbelievers,Vampire Weekend,"TD Pavilion at the Mann, Philadelphia, PA, USA",Sep,28,2024,Only God Was Above Us,0,7,25,Modern Vampires of the City,Philadelphia
Step,Vampire Weekend,"TD Pavilion at the Mann, Philadelphia, PA, USA",Sep,28,2024,Only God Was Above Us,0,8,26,Modern Vampires of the City,Philadelphia
This Life,Vampire Weekend,"TD Pavilion at the Mann, Philadelphia, PA, USA",Sep,28,2024,Only God Was Above Us,0,9,57,Father of the Bride,Philadelphia
Sunflower,Vampire Weekend,"TD Pavilion at the Mann, Philadelphia, PA, USA",Sep,28,2024,Only God Was Above Us,0,10,65,Father of the Bride,Philadelphia
M79,Vampire Weekend,"TD Pavilion at the Mann, Philadelphia, PA, USA",Sep,28,2024,Only God Was Above Us,0,11,5,Vampire Weekend,Philadelphia
