"Cousins" "Oxford Comma" "One (Blake's Got a New Face)" "Ice Cream Piano" "Classical" "Connect" "Unbelievers" "Cape Cod Kwassa Kwassa" "This Life" "Sunflower" "Sympathy" "The Surfer" "Horchata" "Bambina" "Capricorn" "Gen-X Cops" "Diane Young" "A-Punk" "Prep-School Gangsters" "Mary Boone" "Hannah Hunt" "Harmony Hall" "Hope" "Worship You" "Ya Hey" "Hold You Now" "Holiday" "Boston (Ladies of Cambridge)" "White Sky" "Step" "New Dorp. New York" "Pravda" "Campus" "Unbearably White" "The Kids Don't Stand a Chance" "Walcott" "Mansard Roof" "Bryn" "California English" "Cocaine Cowboys" "How Long?" "Obvious Bicycle" "Giving Up the Gun" "I Stand Corrected" "Run" "Ottoman" "Diplomat's Son" "M79" "Big Blue" "SNL Closing Theme (A Waltz in A) / Flower Moon" "Everlasting Arms" "Dangerous Night (The Night Is a Knife)" "Flower Moon" "I Think Ur a Contra" "Rich Man" "We Belong Together"
"Sympathy" 0.787234042553192 0.617021276595745 0.357142857142857 0.769230769230769 0.769230769230769 0.769230769230769 0.416666666666667 0.543478260869565 0.769230769230769 0.442307692307692 1 0.5 0.0909090909090909 0.177777777777778 0.769230769230769 0.78 0.784313725490196 0.769230769230769 0.638297872340426 0.769230769230769 0.347826086956522 0.769230769230769 0.795918367346939 0.272727272727273 0.302325581395349 0.325581395348837 0.446808510638298 0.19047619047619 0.555555555555556 0.395833333333333 0.575 0.294117647058824 0.5 0.048780487804878 0.0476190476190476 0.604166666666667 0.209302325581395 0.209302325581395 0.025 0.239130434782609 0.1 0.1 0.15 0.13953488372093 0.0697674418604651 0.159090909090909 0.0238095238095238 0.0816326530612245 0.025 0.0975609756097561 0 0.048780487804878 0 0 0.025 0
"The Surfer" 0.422222222222222 0.4 0.321428571428571 0.384615384615385 0.384615384615385 0.384615384615385 0.2 0.307692307692308 0.384615384615385 0.27906976744186 0.5 1 0.12 0.137931034482759 0.384615384615385 0.408163265306122 0.392156862745098 0.384615384615385 0.325581395348837 0.384615384615385 0.235294117647059 0.384615384615385 0.387755102040816 0.161290322580645 0.125 0.233333333333333 0.263157894736842 0.2 0.351351351351351 0.342857142857143 0.264705882352941 0.0222222222222222 0.27906976744186 0.0454545454545454 0 0.425 0.142857142857143 0.103448275862069 0.05 0.15625 0.0434782608695652 0.0434782608695652 0.130434782608696 0.0740740740740741 0 0.192307692307692 0.0454545454545454 0.0645161290322581 0.05 0.0869565217391304 0 0.0952380952380952 0 0 0 0
"Horchata" 0.106382978723404 0.189189189189189 0.0869565217391304 0.153846153846154 0.153846153846154 0.153846153846154 0.2 0.21875 0.153846153846154 0.194444444444444 0.0909090909090909 0.12 1 0.166666666666667 0.153846153846154 0.117647058823529 0.134615384615385 0.153846153846154 0.153846153846154 0.153846153846154 0.25 0.153846153846154 0.0980392156862745 0.142857142857143 0.0909090909090909 0.0869565217391304 0.125 0.2 0.027027027027027 0.129032258064516 0.0333333333333333 0.214285714285714 0.131578947368421 0 0.0909090909090909 0.125 0.111111111111111 0.111111111111111 0 0.136363636363636 0 0 0 0.0625 0.0769230769230769 0.0555555555555556 0.1 0.235294117647059 0.125 0 0.125 0 0.0833333333333333 0 0 0.125
"Bambina" 0.1875 0.195121951219512 0.304347826086957 0.25 0.25 0.25 0.205882352941176 0.157894736842105 0.25 0.263157894736842 0.177777777777778 0.137931034482759 0.166666666666667 1 0.25 0.215686274509804 0.254901960784314 0.25 0.219512195121951 0.25 0.129032258064516 0.25 0.22 0.16 0.115384615384615 0.111111111111111 0.28125 0.0454545454545454 0.228571428571429 0.212121212121212 0.125 0.181818181818182 0.170731707317073 0 0.133333333333333 0.219512195121951 0.136363636363636 0.19047619047619 0 0.25 0.0625 0 0.0555555555555556 0.1 0.0555555555555556 0.0909090909090909 0.0666666666666667 0.130434782608696 0 0.2 0 0 0.125 0 0 0.0769230769230769
"Capricorn" 0.846153846153846 0.692307692307692 0.326923076923077 1 1 1 0.538461538461538 0.596153846153846 1 0.673076923076923 0.769230769230769 0.384615384615385 0.153846153846154 0.25 1 0.942307692307692 0.980769230769231 1 0.711538461538462 1 0.423076923076923 1 0.923076923076923 0.307692307692308 0.307692307692308 0.326923076923077 0.538461538461538 0.192307692307692 0.576923076923077 0.519230769230769 0.442307692307692 0.5 0.673076923076923 0.0576923076923077 0.0769230769230769 0.711538461538462 0.230769230769231 0.230769230769231 0.0192307692307692 0.326923076923077 0.0769230769230769 0.0769230769230769 0.115384615384615 0.173076923076923 0.115384615384615 0.211538461538462 0.0576923076923077 0.25 0.0192307692307692 0.0961538461538462 0.0192307692307692 0.0576923076923077 0.0961538461538462 0.0192307692307692 0.0192307692307692 0.0192307692307692
"Gen-X Cops" 0.823529411764706 0.7 0.294117647058824 0.942307692307692 0.942307692307692 0.942307692307692 0.480769230769231 0.568627450980392 0.942307692307692 0.647058823529412 0.78 0.408163265306122 0.117647058823529 0.215686274509804 0.942307692307692 1 0.96078431372549 0.942307692307692 0.653846153846154 0.942307692307692 0.365384615384615 0.942307692307692 0.94 0.3 0.3 0.32 0.54 0.204081632653061 0.58 0.52 0.44 0.470588235294118 0.647058823529412 0.0612244897959184 0.0816326530612245 0.686274509803922 0.22 0.196078431372549 0.0204081632653061 0.269230769230769 0.0816326530612245 0.0816326530612245 0.122448979591837 0.183673469387755 0.1 0.224489795918367 0.04 0.215686274509804 0.0204081632653061 0.08 0 0.0612244897959184 0.08 0.0204081632653061 0.0204081632653061 0
"Diane Young" 0.826923076923077 0.705882352941177 0.333333333333333 0.980769230769231 0.980769230769231 0.980769230769231 0.519230769230769 0.576923076923077 0.980769230769231 0.653846153846154 0.784313725490196 0.392156862745098 0.134615384615385 0.254901960784314 0.980769230769231 0.96078431372549 1 0.980769230769231 0.692307692307692 0.980769230769231 0.403846153846154 0.980769230769231 0.941176470588235 0.288461538461538 0.288461538461538 0.307692307692308 0.549019607843137 0.196078431372549 0.588235294117647 0.529411764705882 0.450980392156863 0.480769230769231 0.653846153846154 0.0588235294117647 0.0784313725490196 0.725490196078431 0.235294117647059 0.211538461538462 0.0196078431372549 0.307692307692308 0.0784313725490196 0.0784313725490196 0.117647058823529 0.176470588235294 0.0961538461538462 0.215686274509804 0.0384615384615385 0.230769230769231 0.0196078431372549 0.0980392156862745 0 0.0588235294117647 0.0980392156862745 0.0196078431372549 0.0196078431372549 0.0196078431372549
"A-Punk" 0.846153846153846 0.692307692307692 0.326923076923077 1 1 1 0.538461538461538 0.596153846153846 1 0.673076923076923 0.769230769230769 0.384615384615385 0.153846153846154 0.25 1 0.942307692307692 0.980769230769231 1 0.711538461538462 1 0.423076923076923 1 0.923076923076923 0.307692307692308 0.307692307692308 0.326923076923077 0.538461538461538 0.192307692307692 0.576923076923077 0.519230769230769 0.442307692307692 0.5 0.673076923076923 0.0576923076923077 0.0769230769230769 0.711538461538462 0.230769230769231 0.230769230769231 0.0192307692307692 0.326923076923077 0.0769230769230769 0.0769230769230769 0.115384615384615 0.173076923076923 0.115384615384615 0.211538461538462 0.0576923076923077 0.25 0.0192307692307692 0.0961538461538462 0.0192307692307692 0.0576923076923077 0.0961538461538462 0.0192307692307692 0.0192307692307692 0.0192307692307692
"Prep-School Gangsters" 0.653061224489796 0.520833333333333 0.384615384615385 0.711538461538462 0.711538461538462 0.711538461538462 0.477272727272727 0.446808510638298 0.711538461538462 0.44 0.638297872340426 0.325581395348837 0.153846153846154 0.219512195121951 0.711538461538462 0.653846153846154 0.692307692307692 0.711538461538462 1 0.711538461538462 0.340909090909091 0.711538461538462 0.634615384615385 0.325 0.325 0.35 0.444444444444444 0.205128205128205 0.522727272727273 0.28 0.5 0.369565217391304 0.5 0.0810810810810811 0.0512820512820513 0.48 0.13953488372093 0.225 0 0.148936170212766 0.108108108108108 0.0789473684210526 0.075 0.0697674418604651 0.102564102564103 0.2 0.0810810810810811 0.219512195121951 0 0.05 0.027027027027027 0.0526315789473684 0.105263157894737 0.027027027027027 0.027027027027027 0.027027027027027
"Mary Boone" 0.846153846153846 0.692307692307692 0.326923076923077 1 1 1 0.538461538461538 0.596153846153846 1 0.673076923076923 0.769230769230769 0.384615384615385 0.153846153846154 0.25 1 0.942307692307692 0.980769230769231 1 0.711538461538462 1 0.423076923076923 1 0.923076923076923 0.307692307692308 0.307692307692308 0.326923076923077 0.538461538461538 0.192307692307692 0.576923076923077 0.519230769230769 0.442307692307692 0.5 0.673076923076923 0.0576923076923077 0.0769230769230769 0.711538461538462 0.230769230769231 0.230769230769231 0.0192307692307692 0.326923076923077 0.0769230769230769 0.0769230769230769 0.115384615384615 0.173076923076923 0.115384615384615 0.211538461538462 0.0576923076923077 0.25 0.0192307692307692 0.0961538461538462 0.0192307692307692 0.0576923076923077 0.0961538461538462 0.0192307692307692 0.0192307692307692 0.0192307692307692
