sets,artist,venue.x,month,day,year,tour,song_num,album,city,date1,city.y,capacity,once,five,city1,lon,lat,state,showavgo,totalavgo,venue.y,totalavgo <- avgoverlap,date
Sympathy,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,11,Father of the Bride,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56,2024-12-11
The Surfer,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,12,Only God Was Above Us,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56,2024-12-11
California English,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,13,Contra,London,Dec 11,London 4,4921,1,1,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56,2024-12-11
Campus,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,14,Vampire Weekend,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56,2024-12-11
Oxford Comma,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,15,Vampire Weekend,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56,2024-12-11
Capricorn,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,16,Only God Was Above Us,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56,2024-12-11
Gen-X Cops,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,17,Only God Was Above Us,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56,2024-12-11
Diane Young,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,18,Modern Vampires of the City,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56,2024-12-11
Cousins,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,19,Contra,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56,2024-12-11
A-Punk,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,20,Vampire Weekend,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56,2024-12-11
Cocaine Cowboys,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,21,Other,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56,2024-12-11
Mary Boone,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,22,Only God Was Above Us,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56,2024-12-11
Hannah Hunt,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,23,Modern Vampires of the City,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56,2024-12-11
Harmony Hall,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,24,Father of the Bride,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56,2024-12-11
Hope,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,25,Only God Was Above Us,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56,2024-12-11
Walcott,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,37,Vampire Weekend,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56,2024-12-11
Oxford Comma,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,1,Vampire Weekend,London,Dec 10,London 3,4921,0,0,London,-0.1149344,51.4651626,NA,0.53,0.56,"O2 Academy Brixton, London, England",0.56,2024-12-10
Campus,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,2,Vampire Weekend,London,Dec 10,London 3,4921,0,0,London,-0.1149344,51.4651626,NA,0.53,0.56,"O2 Academy Brixton, London, England",0.56,2024-12-10
Boston (Ladies of Cambridge),Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,3,Other,London,Dec 10,London 3,4921,0,0,London,-0.1149344,51.4651626,NA,0.53,0.56,"O2 Academy Brixton, London, England",0.56,2024-12-10
Ice Cream Piano,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,4,Only God Was Above Us,London,Dec 10,London 3,4921,0,0,London,-0.1149344,51.4651626,NA,0.53,0.56,"O2 Academy Brixton, London, England",0.56,2024-12-10
Classical,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,5,Only God Was Above Us,London,Dec 10,London 3,4921,0,0,London,-0.1149344,51.4651626,NA,0.53,0.56,"O2 Academy Brixton, London, England",0.56,2024-12-10
Connect,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,6,Only God Was Above Us,London,Dec 10,London 3,4921,0,0,London,-0.1149344,51.4651626,NA,0.53,0.56,"O2 Academy Brixton, London, England",0.56,2024-12-10
Cape Cod Kwassa Kwassa,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,7,Vampire Weekend,London,Dec 10,London 3,4921,0,0,London,-0.1149344,51.4651626,NA,0.53,0.56,"O2 Academy Brixton, London, England",0.56,2024-12-10
White Sky,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,8,Contra,London,Dec 10,London 3,4921,0,0,London,-0.1149344,51.4651626,NA,0.53,0.56,"O2 Academy Brixton, London, England",0.56,2024-12-10
This Life,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,9,Father of the Bride,London,Dec 10,London 3,4921,0,0,London,-0.1149344,51.4651626,NA,0.53,0.56,"O2 Academy Brixton, London, England",0.56,2024-12-10
Sympathy,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,10,Father of the Bride,London,Dec 10,London 3,4921,0,0,London,-0.1149344,51.4651626,NA,0.53,0.56,"O2 Academy Brixton, London, England",0.56,2024-12-10
New Dorp. New York,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,11,Other,London,Dec 10,London 3,4921,0,0,London,-0.1149344,51.4651626,NA,0.53,0.56,"O2 Academy Brixton, London, England",0.56,2024-12-10
Pravda,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,12,Only God Was Above Us,London,Dec 10,London 3,4921,0,0,London,-0.1149344,51.4651626,NA,0.53,0.56,"O2 Academy Brixton, London, England",0.56,2024-12-10
How Long?,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,13,Father of the Bride,London,Dec 10,London 3,4921,0,1,London,-0.1149344,51.4651626,NA,0.53,0.56,"O2 Academy Brixton, London, England",0.56,2024-12-10
