sets	artist	venue	month	day	year	song_num
Mary Boone	Vampire Weekend	"Eventim Apollo, London, England"	Dec	4	2024	21
Harmony Hall	Vampire Weekend	"Eventim Apollo, London, England"	Dec	4	2024	22
Hope	Vampire Weekend	"Eventim Apollo, London, England"	Dec	4	2024	23
Someday	Vampire Weekend	"Eventim Apollo, London, England"	Dec	4	2024	24
My Sweet Lord	Vampire Weekend	"Eventim Apollo, London, England"	Dec	4	2024	25
Got My Mind Set on You	Vampire Weekend	"Eventim Apollo, London, England"	Dec	4	2024	26
Ring of Fire	Vampire Weekend	"Eventim Apollo, London, England"	Dec	4	2024	27
Tempted	Vampire Weekend	"Eventim Apollo, London, England"	Dec	4	2024	28
Like a Rolling Stone	Vampire Weekend	"Eventim Apollo, London, England"	Dec	4	2024	29
Waterloo Sunset	Vampire Weekend	"Eventim Apollo, London, England"	Dec	4	2024	30
Here	Vampire Weekend	"Eventim Apollo, London, England"	Dec	4	2024	31
Life on Mars?	Vampire Weekend	"Eventim Apollo, London, England"	Dec	4	2024	32
Wichita Lineman	Vampire Weekend	"Eventim Apollo, London, England"	Dec	4	2024	33
You're Still the One	Vampire Weekend	"Eventim Apollo, London, England"	Dec	4	2024	34
Billie Jean	Vampire Weekend	"Eventim Apollo, London, England"	Dec	4	2024	35
Walcott	Vampire Weekend	"Eventim Apollo, London, England"	Dec	4	2024	36
Mansard Roof	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	2	2024	1
Oxford Comma	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	2	2024	2
Bryn	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	2	2024	3
Ice Cream Piano	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	2	2024	4
Classical	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	2	2024	5
Connect	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	2	2024	6
White Sky	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	2	2024	7
Cape Cod Kwassa Kwassa	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	2	2024	8
This Life	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	2	2024	9
M79	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	2	2024	10
Sympathy	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	2	2024	11
New Dorp. New York	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	2	2024	12
